,volatile acidity,residual sugar,density,quality
58,0.38,4.6,0.9931,6
59,0.2,1.2,0.9926,6
60,0.22,4.9,0.9951,6
61,0.19,12.4,0.9972,6
62,0.47,1.1,0.991,5
63,0.38,4.6,0.9931,6
64,0.24,1.4,0.9927,6
65,0.35,1.2,0.9934,5
66,0.26,6.4,0.9903,7
67,0.25,1.2,0.992,5
68,0.23,2.1,0.9926,8
69,0.24,10.1,0.9962,5
70,0.27,7.8,0.9956,6
71,0.3,4.6,0.9958,5
72,0.27,4.8,0.9964,5
73,0.23,1.0,0.9941,6
74,0.23,2.1,0.9926,8
75,0.24,10.1,0.9962,5
76,0.18,1.4,0.9898,7
77,0.32,1.3,0.9912,7
78,0.18,8.8,0.9961,5
79,0.54,5.4,0.9949,5
80,0.22,1.4,0.9929,6
81,0.2,16.0,0.9985,6
82,0.34,6.1,0.9946,5
83,0.22,8.2,0.9966,6
84,0.43,11.8,0.9974,5
85,0.44,11.8,0.9975,6
86,0.39,11.0,0.9974,6
87,0.25,13.3,0.9972,6
88,0.43,11.8,0.9974,5
89,0.44,11.8,0.9975,6
90,0.39,11.0,0.9974,6
91,0.27,7.5,0.9957,5
92,0.24,1.7,0.99,7
93,0.21,1.8,0.9899,7
94,0.17,1.7,0.9916,7
95,0.26,12.4,0.9969,6
96,0.34,15.9,0.9979,6
97,0.265,1.2,0.9913,7
98,0.36,10.5,0.9956,4
99,0.34,15.9,0.9979,6
100,0.25,13.5,0.9975,5
101,0.12,9.6,0.9962,5
102,0.21,12.1,0.997,5
103,0.305,18.9,1.0,5
104,0.25,13.5,0.9975,5
105,0.13,14.4,0.9974,6
106,0.12,9.6,0.9962,5
107,0.23,16.5,0.9990000000000001,6
108,0.23,16.5,0.9990000000000001,6
109,0.33,1.3,0.9927,5
110,0.17,8.5,0.9959,6
111,0.27,18.75,1.0,5
112,0.31,13.3,0.9982,5
113,0.41,9.2,0.9968,5
114,0.41,9.2,0.9968,5
115,0.485,1.5,0.9940000000000001,4
116,0.31,3.3,0.9914,6
117,0.14,1.7,0.9911,6
118,0.31,13.3,0.9982,5
119,0.32,13.3,0.9982,5
120,0.36,5.7,0.9934,5
121,0.24,12.2,0.9984,5
122,0.16,6.85,0.9952,5
123,0.19,5.0,0.9952,6
124,0.13,1.6,0.9928,6
125,0.19,1.1,0.9912,6
126,0.39,7.0,0.9940000000000001,5
127,0.24,7.6,0.9958,7
128,0.3,2.8,0.9924,7
129,0.3,2.7,0.9924,6
130,0.26,10.4,0.9940000000000001,5
131,0.24,7.6,0.9958,7
132,0.425,13.1,0.9979,5
133,0.24,15.8,0.9982,5
134,0.27,8.1,0.9961,5
135,0.27,15.7,0.9979,5
136,0.23,1.2,0.992,6
137,0.37,10.5,0.9975,5
138,0.19,1.9,0.9917,7
139,0.28,1.9,0.9923,6
140,0.31,2.2,0.9927,5
141,0.37,10.5,0.9975,5
142,0.21,1.2,0.992,6
143,0.21,4.3,0.9947,6
144,0.2,2.0,0.9921,6
145,0.255,1.1,0.9905,6
146,0.16,1.4,0.9918,6
147,0.595,5.2,0.9951,4
148,0.34,4.6,0.9917,7
149,0.25,4.1,0.9940000000000001,6
150,0.22,8.0,0.9934,7
151,0.18,10.2,0.9968,6
152,0.25,4.1,0.9940000000000001,6
153,0.18,1.2,0.9919,5
154,0.23,7.5,0.9966,6
155,0.24,14.0,0.9979,6
156,0.24,14.0,0.9979,6
157,0.32,1.5,0.9898,7
158,0.44,1.4,0.9894,8
159,0.44,1.4,0.9894,8
160,0.32,1.5,0.9898,7
161,0.22,14.5,0.998,5
162,0.36,4.8,0.9932,5
163,0.24,14.0,0.9979,6
164,0.24,13.1,0.997,5
165,0.23,13.0,0.9972,5
166,0.27,8.7,0.9974,6
167,0.46,2.4,0.9896,7
168,0.29,8.95,0.9968,5
169,0.42,9.85,0.9958,5
170,0.3,1.5,0.9906,6
171,0.19,1.5,0.9917,6
172,0.48,0.8,0.9902,4
173,0.22,4.55,0.9918,7
174,0.27,17.7,0.9990000000000001,5
175,0.23,7.5,0.9927,6
176,0.32,5.1,0.991,4
177,0.23,12.9,0.9972,5
178,0.67,1.2,0.9931,4
179,0.25,5.5,0.995,6
180,0.33,5.5,0.9951,6
181,0.34,1.2,0.9936,5
182,0.28,22.0,1.001,5
183,0.27,14.0,0.9979,6
184,0.26,11.9,0.997,5
185,0.29,11.9,0.9972,5
186,0.24,9.4,0.9954,6
187,0.3,4.2,0.9924,5
188,0.53,3.8,0.9906,8
189,0.28,8.5,0.9962,4
190,0.28,8.5,0.9962,6
191,0.28,22.0,1.001,5
192,0.28,8.0,0.9928,6
193,0.15,5.1,0.9942,5
194,0.29,3.6,0.9942,5
195,0.3,3.5,0.9942,6
196,0.29,3.6,0.9942,5
197,0.26,7.8,0.9961,5
198,0.32,13.1,0.998,5
199,0.26,7.8,0.9961,5
200,0.27,16.1,0.9984,5
201,0.32,13.1,0.998,5
202,0.54,13.2,0.9973,5
203,0.26,13.9,0.9949,6
204,0.28,2.3,0.9924,4
205,0.21,11.6,0.9972,5
206,0.16,8.3,0.9958,5
207,0.44,6.2,0.9968,4
208,0.57,2.2,0.9938,5
209,0.4,0.9,0.993,6
210,0.245,9.7,0.9940000000000001,5
211,0.18,1.4,0.9918,7
212,0.16,8.3,0.9958,5
213,0.13,5.3,0.9944,6
214,0.25,1.4,0.9912,7
215,0.26,9.2,0.9961,5
216,0.27,7.0,0.9939,5
217,0.26,9.2,0.9961,5
218,0.28,17.5,0.9989,5
219,0.23,7.0,0.9938,5
220,0.27,7.0,0.9939,5
221,0.685,9.5,0.9971,6
222,0.25,1.4,0.9912,7
223,0.19,0.8,0.9936,6
224,0.495,1.8,0.9929,6
225,0.24,17.8,0.9998,5
226,0.17,2.4,0.9938,6
227,0.25,10.3,0.9969,6
228,0.17,2.4,0.9938,6
229,0.24,17.8,0.9998,5
230,0.64,9.7,0.9972,4
231,0.28,7.8,0.9976,6
232,0.27,7.8,0.9976,6
233,0.23,14.3,0.9979,6
234,0.23,14.3,0.9979,6
235,0.23,14.3,0.9979,6
236,0.23,14.3,0.9979,6
237,0.52,13.2,0.9972,6
238,0.26,1.4,0.9918,7
239,0.25,15.55,0.9982,6
240,0.32,13.7,0.9985,5
241,0.31,7.8,0.9944,5
242,0.21,2.4,0.9903,7
243,0.24,2.7,0.9934,6
244,0.4,11.2,0.9975,5
245,0.18,2.0,0.9923,6
246,0.21,2.1,0.99,7
247,0.2,1.4,0.9905,7
248,0.19,1.4,0.9905,7
249,0.41,10.4,0.996,5
250,0.21,4.6,0.9964,4
251,0.26,16.2,0.998,3
252,0.4,11.2,0.9975,5
253,0.24,3.5,0.9913,3
254,0.24,1.5,0.9932,6
255,0.26,1.1,0.9935,8
256,0.35,5.7,0.9927,7
257,0.35,5.7,0.9927,7
258,0.23,1.8,0.9912,6
259,0.36,0.9,0.9904,4
260,0.115,5.4,0.9939,6
261,0.29,19.45,0.9996,5
262,0.28,8.2,0.9944,5
263,0.29,13.6,0.9977,6
264,0.24,1.2,0.9912,6
265,0.29,19.45,0.9996,5
266,0.32,8.3,0.9965,6
267,0.58,6.9,0.9944,5
268,0.585,7.1,0.9945,6
269,0.59,7.0,0.9944,6
270,0.32,8.3,0.9965,6
271,0.6,7.0,0.9944,5
272,0.25,13.1,0.9972,5
273,0.58,5.1,0.9949,5
274,0.29,10.7,0.9966,5
275,0.19,8.9,0.9954,6
276,0.2,9.1,0.9954,6
277,0.26,1.1,0.9915,5
278,0.32,1.2,0.9919,4
279,0.3,4.7,0.9916,7
280,0.24,2.8,0.99,8
281,0.31,5.0,0.9909,8
282,0.44,5.1,0.9938,4
283,0.34,15.6,0.9982,5
284,0.35,15.4,0.9988,5
285,0.32,7.2,0.9961,5
286,0.28,15.7,0.9978,6
287,0.23,14.2,0.9979,7
288,0.23,14.2,0.9979,7
289,0.23,14.2,0.9979,7
290,0.23,14.2,0.9979,7
291,0.15,5.8,0.9945,6
292,0.28,19.8,1.0,5
293,0.28,7.3,0.9957,7
294,0.59,1.6,0.9968,3
295,0.33,1.2,0.9934,6
296,0.39,10.6,0.9976,5
297,0.19,3.8,0.9932,7
298,0.17,11.3,0.997,6
299,0.17,2.1,0.9923,6
300,0.41,1.6,0.9914,6
301,0.2,0.9,0.992,6
302,0.41,1.6,0.9914,6
303,0.29,1.3,0.9914,6
304,0.41,6.8,0.9949,6
305,0.41,6.8,0.9949,6
306,0.43,6.7,0.995,5
307,0.4,6.7,0.995,6
308,0.33,4.9,0.9927,7
309,0.31,4.8,0.9928,6
310,0.36,2.1,0.9917,7
311,0.55,8.3,0.9918,8
312,0.25,3.7,0.9954,6
313,0.36,6.7,0.9941,6
314,0.34,6.6,0.9941,5
315,0.28,1.1,0.9934,6
316,0.25,4.7,0.9927,6
317,0.24,7.7,0.9938,5
318,0.3,7.85,0.9933,7
319,0.125,3.3,0.9934,6
320,0.1,1.1,0.9927,7
321,0.24,7.7,0.9938,5
322,0.25,4.7,0.9927,6
323,0.28,9.3,0.9946,6
324,0.41,2.0,0.993,5
325,0.27,5.8,0.9946,5
326,0.26,15.15,0.9976,6
327,0.34,6.3,0.9944,6
328,0.28,15.4,0.9978,6
329,0.21,1.3,0.992,5
330,0.32,4.8,0.9912,8
331,0.24,4.6,0.9927,5
332,0.23,1.8,0.9906,6
333,0.28,9.9,0.9954,5
334,0.26,5.7,0.9923,5
335,0.23,1.8,0.9906,6
336,0.23,1.5,0.991,6
337,0.27,12.3,0.9972,6
338,0.26,1.3,0.9945,5
339,0.18,1.5,0.9934,7
340,0.2,7.8,0.9964,7
341,0.24,1.5,0.9948,6
342,0.26,9.7,0.9962,6
343,0.31,3.0,0.9931,5
344,0.29,3.0,0.993,6
345,0.145,4.6,0.9942,6
346,0.34,1.3,0.9906,7
347,0.19,15.6,0.9995,6
348,0.18,13.6,0.998,6
349,0.17,11.2,0.997,5
350,0.12,2.1,0.9914,7
351,0.33,6.85,0.992,7
352,0.335,2.5,0.9924,6
353,0.33,6.85,0.992,7
354,0.4,4.4,0.9937,6
355,0.22,14.3,0.9978,6
356,0.22,14.3,0.9978,6
357,0.36,1.1,0.9927,6
358,0.2,1.4,0.9940000000000001,6
359,0.24,4.7,0.9935,6
360,0.24,14.9,0.9968,6
361,0.365,1.2,0.9941,5
362,0.15,5.3,0.9942,6
363,0.22,14.3,0.9978,6
364,0.16,2.3,0.9923,7
365,0.26,3.5,0.9912,7
366,0.18,1.5,0.9923,6
367,0.33,1.0,0.9927,6
368,0.29,2.3,0.9931,6
369,0.39,12.5,0.9941,5
370,0.33,1.0,0.9927,6
371,0.29,2.3,0.9931,6
372,0.905,0.8,0.9934,5
373,0.27,2.4,0.9936,6
374,0.33,1.6,0.9893,7
375,0.33,1.6,0.9893,7
376,0.31,1.5,0.9919,7
377,0.2,1.4,0.9924,7
378,0.32,2.6,0.9927,6
379,0.31,1.5,0.9919,7
380,0.2,1.4,0.9924,7
381,0.28,12.5,0.9975,6
382,0.35,9.6,0.9969,6
383,0.27,2.4,0.9936,6
384,0.36,3.2,0.991,7
385,0.33,1.6,0.9893,7
386,0.17,1.5,0.9906,7
387,0.39,5.9,0.9941,5
388,0.21,5.4,0.995,6
389,0.3,14.9,0.9983,7
390,0.3,14.9,0.9983,7
391,0.36,1.1,0.9916,5
392,0.55,9.8,0.9957,6
393,0.24,2.0,0.99,6
394,0.37,11.8,0.9976,5
395,0.27,1.3,0.992,5
396,0.28,1.8,0.9917,5
397,0.2,1.5,0.9917,6
398,0.26,18.2,0.9993,5
399,0.19,2.9,0.9908,6
400,0.2,1.5,0.9917,6
401,0.37,11.8,0.9976,5
402,0.35,1.4,0.9934,5
403,0.27,18.2,1.0,5
404,0.22,6.3,0.9918,6
405,0.27,1.3,0.992,5
406,0.28,4.0,0.9896,7
407,0.49,1.2,0.9932,5
408,0.14,1.2,0.992,6
409,0.28,1.8,0.9917,5
410,0.25,18.95,0.9999,6
411,0.28,12.7,0.998,6
412,0.19,1.2,0.9918,5
413,0.19,1.2,0.9918,5
414,0.25,18.95,0.9999,6
415,0.28,12.7,0.998,6
416,0.21,1.2,0.9927,6
417,0.26,7.7,0.9959,5
418,0.21,1.2,0.9927,6
419,0.31,1.6,0.9929,6
420,0.22,2.7,0.9898,7
421,0.21,8.7,0.9954,6
422,0.21,8.6,0.9954,6
423,0.21,8.6,0.9954,6
424,0.23,8.3,0.9954,7
425,0.21,8.7,0.9954,6
426,0.21,8.6,0.9954,6
427,0.29,13.3,0.9974,5
428,0.21,1.2,0.9936,5
429,0.31,13.6,0.9978,5
430,0.29,13.3,0.9974,5
431,0.34,1.1,0.9927,5
432,0.155,2.3,0.9934,7
433,0.55,1.5,0.9938,4
434,0.23,7.1,0.9922,8
435,0.2,6.2,0.992,7
436,0.28,2.5,0.9935,5
437,0.16,1.4,0.9906,8
438,0.155,2.3,0.9934,7
439,0.35,1.2,0.9934,5
440,0.22,1.6,0.9913,7
441,0.38,6.6,0.9938,6
442,0.25,2.2,0.9898,8
443,0.52,12.2,0.9975,6
444,0.24,20.8,0.9975,6
445,0.32,11.0,0.9937,3
446,0.28,2.6,0.9914,5
447,0.41,14.0,0.9982,6
448,0.41,14.0,0.9982,6
449,0.28,1.6,0.9929,7
450,0.6,9.9,0.9971,5
451,0.2,1.2,0.9921,5
452,0.46,2.7,0.9931,7
453,0.27,1.6,0.9924,7
454,0.28,1.6,0.9929,7
455,0.41,14.0,0.9982,6
456,0.23,1.5,0.9892,7
457,0.21,8.6,0.9956,5
458,0.37,1.0,0.9924,6
459,0.43,9.1,0.9971,5
460,0.21,8.6,0.9956,5
461,0.25,15.2,0.9982,5
462,0.25,12.4,0.9973,5
463,0.32,2.2,0.9932,6
464,0.39,11.0,0.9976,5
465,0.21,10.0,0.9962,5
466,0.14,9.0,0.9956,6
467,0.32,2.2,0.9932,6
468,0.39,11.0,0.9976,5
469,0.29,18.15,0.9992,5
470,0.37,12.15,0.9983,6
471,0.38,3.4,0.9937,5
472,0.24,2.0,0.99,6
473,0.17,4.8,0.9944,7
474,0.16,4.5,0.9938,6
475,0.24,11.0,0.9965,5
476,0.28,1.1,0.9893,7
477,0.22,1.5,0.9927,6
478,0.55,1.7,0.9940000000000001,6
479,0.22,1.7,0.9928,6
480,0.47,8.9,0.9964,5
481,0.36,1.3,0.9917,6
482,0.25,13.3,0.9972,5
483,0.47,8.9,0.9964,5
484,0.37,6.6,0.9954,5
485,0.18,1.5,0.993,6
486,0.16,1.5,0.9928,6
487,0.34,1.3,0.9916,6
488,0.29,1.6,0.9936,6
489,0.26,7.6,0.9962,6
490,0.28,1.0,0.9899,6
491,0.23,1.6,0.9898,7
492,0.19,8.9,0.996,6
493,0.19,1.8,0.9907,6
494,0.2,4.7,0.9940000000000001,6
495,0.44,7.0,0.9913,6
496,0.4,10.8,0.9976,4
497,0.23,1.6,0.9904,6
498,0.335,1.0,0.992,5
499,0.4,10.8,0.9976,4
500,0.28,16.7,0.9990000000000001,6
501,0.19,14.2,0.9975,6
502,0.3,2.25,0.9937,6
503,0.3,2.25,0.9937,5
504,0.18,12.2,0.998,6
505,0.18,12.2,0.998,6
506,0.51,3.3,0.9944,5
507,0.24,1.9,0.9938,7
508,0.62,3.5,0.9907,6
509,0.24,1.9,0.9938,7
510,0.27,1.3,0.9921,6
511,0.34,1.8,0.9908,6
512,0.26,5.2,0.9931,6
513,0.36,1.4,0.9915,6
514,0.28,9.0,0.9952,7
515,0.31,2.2,0.9926,6
516,0.18,1.6,0.9934,5
517,0.15,1.7,0.992,6
518,0.13,1.9,0.9918,6
519,0.34,12.6,0.9942,5
520,0.19,2.1,0.9942,5
521,0.19,2.1,0.9942,5
522,0.25,1.3,0.9901,6
523,0.36,1.7,0.9898,6
524,0.35,1.0,0.9902,5
525,0.32,3.3,0.9934,6
526,0.31,5.0,0.9906,4
527,0.28,1.8,0.9898,6
528,0.36,1.6,0.9896,6
529,0.19,4.5,0.9922,6
530,0.1,4.9,0.9947,6
531,0.18,4.0,0.9945,5
532,0.25,13.2,0.9976,6
533,0.25,13.2,0.9976,6
534,0.25,13.2,0.9976,6
535,0.345,15.3,0.9987,5
536,0.345,15.3,0.9987,5
537,0.25,13.2,0.9976,6
538,0.24,1.5,0.992,5
539,0.25,4.55,0.9955,6
540,0.31,9.9,0.9953,4
541,0.46,10.4,0.9976,5
542,0.35,1.1,0.992,6
543,0.24,8.7,0.9952,6
544,0.28,13.9,0.9983,6
545,0.16,1.4,0.9933,6
546,0.26,7.2,0.9958,6
547,0.22,1.9,0.9922,6
548,0.18,1.7,0.9928,7
549,0.46,10.4,0.9976,5
550,0.3,13.6,0.9976,7
551,0.25,1.2,0.9916,7
552,0.28,1.6,0.9901,7
553,0.3,13.6,0.9976,7
554,0.28,1.6,0.9901,7
555,0.25,1.2,0.9916,7
556,0.35,12.2,0.9982,5
557,0.41,1.6,0.993,6
558,0.21,12.1,0.9969,5
559,0.34,4.2,0.991,6
560,0.21,9.1,0.9953,7
561,0.37,1.6,0.9924,5
562,0.34,8.8,0.9969,6
563,0.3,1.4,0.9928,7
564,0.51,4.2,0.9945,5
565,0.22,10.3,0.9967,6
566,0.35,12.4,0.9944,6
567,0.26,2.2,0.9928,5
568,0.26,2.2,0.9929,6
569,0.28,5.2,0.9948,6
570,0.41,10.8,0.9976,5
571,0.28,2.7,0.9912,7
572,0.34,16.3,0.9987,5
573,0.2,2.7,0.99,7
574,0.2,1.9,0.991,7
575,0.22,1.8,0.9933,6
576,0.23,1.8,0.9933,6
577,0.22,2.8,0.9899,7
578,0.28,2.7,0.9912,7
579,0.38,6.0,0.9912,7
580,0.41,10.8,0.9976,5
581,0.18,4.2,0.9940000000000001,5
582,0.3,6.4,0.9947,6
583,0.24,10.7,0.9954,6
584,0.25,1.6,0.993,7
585,0.24,10.7,0.9954,6
586,0.26,7.9,0.9963,6
587,0.32,1.7,0.992,7
588,0.28,2.1,0.9926,7
589,0.23,5.8,0.995,6
590,0.31,14.5,0.9983,5
591,0.2,1.2,0.992,6
592,0.41,10.1,0.9968,5
593,0.45,1.1,0.9905,5
594,0.475,1.0,0.9904,5
595,0.27,0.9,0.9926,7
596,0.41,10.1,0.9968,5
597,0.29,4.9,0.9928,6
598,0.27,11.4,0.9949,8
599,0.19,1.4,0.9909,7
600,0.3,1.4,0.9937,6
601,0.24,1.4,0.9914,6
602,0.45,1.1,0.9905,5
603,0.475,1.0,0.9904,5
604,0.26,1.5,0.9924,6
605,0.26,1.5,0.9924,6
606,0.25,7.5,0.9965,5
607,0.25,7.5,0.9965,5
608,0.28,17.75,0.9993,5
609,0.37,5.7,0.9965,6
610,0.36,3.2,0.9908,8
611,0.24,4.3,0.992,6
612,0.23,11.0,0.9978,5
613,0.21,10.9,0.9978,5
614,0.21,10.9,0.9978,5
615,0.23,11.0,0.9978,5
616,0.32,2.4,0.9912,7
617,0.26,1.9,0.9928,6
618,0.24,1.8,0.9928,6
619,0.19,1.4,0.993,6
620,0.46,16.8,0.9993,5
621,0.26,8.9,0.9965,5
622,0.32,6.6,0.9937,6
623,0.24,1.1,0.9913,5
624,0.36,1.4,0.9934,5
625,0.24,13.3,0.9952,8
626,0.56,10.4,0.9983,4
627,0.32,6.2,0.9957,6
628,0.32,6.2,0.9957,6
629,0.31,1.2,0.9916,6
630,0.23,18.05,0.9999,5
631,0.23,18.05,0.9999,5
632,0.24,4.8,0.9936,6
633,0.29,12.6,0.9972,5
634,0.17,4.5,0.9933,6
635,0.14,4.5,0.9934,6
636,0.17,4.7,0.9931,7
637,0.28,11.9,0.9976,5
638,0.35,5.0,0.9937,5
639,0.335,5.8,0.9937,5
640,0.235,1.2,0.991,7
641,0.28,12.9,0.9979,4
642,0.21,13.9,0.9971,6
643,0.24,11.5,0.9969,5
644,0.24,11.4,0.9968,5
645,0.26,7.8,0.9961,5
646,0.33,1.1,0.993,4
647,0.105,12.2,0.9973,6
648,0.32,5.9,0.9944,5
649,0.26,14.4,0.9986,7
650,0.26,14.4,0.9986,7
651,0.26,14.4,0.9986,7
652,0.26,14.4,0.9986,7
653,0.24,12.3,0.9972,6
654,0.21,2.5,0.9917,7
655,0.27,5.3,0.992,6
656,0.27,4.9,0.9932,6
657,0.34,3.2,0.9936,5
658,0.27,3.1,0.9915,5
659,0.29,1.4,0.9922,4
660,0.28,1.9,0.9934,5
661,0.25,14.0,0.9952,7
662,0.57,8.3,0.9972,4
663,0.28,1.9,0.9934,5
664,0.17,7.4,0.9958,6
665,0.28,1.4,0.9944,5
666,0.22,1.7,0.9908,6
667,0.17,7.4,0.9958,6
668,0.14,1.3,0.9925,6
669,0.24,11.6,0.9966,5
670,0.42,9.2,0.9972,6
671,0.28,1.7,0.9912,6
672,0.32,14.5,0.995,8
673,0.31,2.1,0.9928,6
674,0.32,10.7,0.9968,5
675,0.28,6.9,0.9955,6
676,0.29,12.0,0.9981,6
677,0.32,4.75,0.991,7
678,0.32,4.75,0.991,7
679,0.32,4.75,0.991,7
680,0.28,1.4,0.992,5
681,0.34,1.3,0.9931,5
682,0.25,11.3,0.997,6
683,0.27,4.5,0.9948,5
684,0.46,1.7,0.9923,5
685,0.36,13.2,0.9976,5
686,0.22,5.5,0.9938,7
687,0.67,13.0,0.9984,4
688,0.28,10.7,0.9972,6
689,0.17,2.0,0.9922,7
690,0.2,1.9,0.9935,4
691,0.36,6.4,0.9944,6
692,0.36,6.3,0.9942,5
693,0.37,6.3,0.9944,5
694,0.29,17.5,0.9997,6
695,0.34,14.7,0.9977,5
696,0.19,1.0,0.9912,6
697,0.31,14.8,0.9982,5
698,0.31,14.8,0.9982,5
699,0.31,14.2,0.9983,5
700,0.4,13.1,0.998,5
701,0.34,2.4,0.9894,7
702,0.38,1.2,0.9927,4
703,0.33,1.1,0.9917,6
704,0.25,3.6,0.9904,6
705,0.27,6.1,0.993,5
706,0.31,6.3,0.9941,5
707,0.18,4.4,0.9943,6
708,0.2,13.9,0.99855,6
709,0.47,1.0,0.99345,5
710,0.25,12.1,0.998,5
711,0.27,1.6,0.9916,6
712,0.27,1.6,0.9916,6
713,0.31,7.5,0.99475,5
714,0.39,2.7,0.99325,6
715,0.21,1.7,0.9933,7
716,0.42,9.2,0.9969,6
717,0.27,18.75,1.0002,5
718,0.21,1.7,0.9933,7
719,0.29,1.8,0.9937,7
720,0.29,9.0,0.99685,5
721,0.3,1.5,0.99455,5
722,0.31,1.6,0.9917,6
723,0.33,1.3,0.99035,8
724,0.3,1.8,0.9914,7
725,0.39,1.2,0.99225,5
726,0.24,2.8,0.99155,7
727,0.21,8.0,0.9954,5
728,0.16,5.3,0.99455,5
729,0.33,0.8,0.9924,5
730,0.23,13.8,0.99695,6
731,0.25,10.0,0.99655,6
732,0.28,6.0,0.9934,7
733,0.25,14.4,0.998,6
734,0.38,9.8,0.9971,5
735,0.25,5.5,0.9948,6
736,0.25,14.4,0.998,6
737,0.38,9.8,0.9971,5
738,0.21,3.8,0.99215,7
739,0.25,5.5,0.9948,6
740,0.39,4.6,0.9915,3
741,0.2,1.5,0.99115,6
742,0.2,2.0,0.9932,6
743,0.26,12.5,0.9977,5
744,0.38,7.5,0.99535,5
745,0.2,2.1,0.99165,6
746,0.21,8.5,0.9953,6
747,0.29,7.6,0.9928,6
748,0.18,8.1,0.9958,6
749,0.3,7.35,0.9928,6
750,0.29,7.6,0.9928,6
751,0.2,10.0,0.9964,6
752,0.2,14.0,0.9987,6
753,0.21,8.5,0.9953,6
754,0.35,2.2,0.9932,5
755,0.28,1.8,0.9907,7
756,0.25,11.1,0.99755,5
757,0.22,15.2,0.99935,6
758,0.14,1.2,0.9932,7
759,0.13,1.2,0.9932,7
760,0.18,8.1,0.9958,6
761,0.2,8.1,0.99585,6
762,0.24,19.3,1.00055,5
763,0.44,18.6,0.9985,6
764,0.3,5.0,0.99505,6
765,0.27,1.6,0.992,6
766,0.5,13.4,0.9988,5
767,0.2,1.6,0.99175,6
768,0.11,8.8,0.9962,7
769,0.11,8.8,0.9962,7
770,0.12,5.2,0.9942,7
771,0.16,1.1,0.9927,7
772,0.21,1.1,0.9927,7
773,0.27,16.7,0.99985,5
774,0.27,10.6,0.997,9
775,0.225,2.2,0.9918,6
776,0.14,1.5,0.99215,6
777,0.23,13.7,0.99865,5
778,0.22,15.0,0.9992,7
779,0.17,14.1,1.0006,8
780,0.395,1.4,0.99135,4
781,0.29,9.5,0.99715,6
782,0.22,15.0,0.9992,7
783,0.17,14.1,1.0006,8
784,0.23,13.7,0.99865,5
785,0.3,10.6,0.99815,6
786,0.34,11.0,0.99815,6
787,0.34,11.0,0.99815,6
788,0.34,7.0,0.9949,7
789,0.3,10.6,0.99815,6
790,0.34,11.0,0.99815,6
791,0.24,2.0,0.99225,7
792,0.46,4.9,0.99445,5
793,0.24,2.0,0.99225,7
794,0.32,1.4,0.99335,5
795,0.31,7.3,0.99625,5
796,0.42,8.8,0.9971,6
797,0.24,12.5,0.9983,6
798,0.18,4.8,0.99445,6
799,0.18,1.4,0.99085,8
800,0.27,11.2,0.9977,6
801,0.28,6.8,0.9953,5
802,0.39,11.6,0.99775,5
803,0.21,11.4,0.99795,7
804,0.32,6.6,0.99505,6
805,0.27,11.2,0.9977,6
806,0.31,13.2,0.9975,5
807,0.29,13.1,0.99745,6
808,0.39,12.0,0.9976,6
809,0.3,13.4,0.99775,6
810,0.28,6.8,0.9953,5
811,0.41,1.5,0.9932,6
812,0.35,1.1,0.99405,7
813,0.26,16.5,1.0,6
814,0.35,15.6,0.99785,6
815,0.3,2.8,0.9939,5
816,0.18,5.1,0.9939,5
817,0.56,8.9,0.99675,5
818,0.3,2.8,0.9939,5
819,0.56,8.9,0.99675,5
820,0.36,1.6,0.98965,9
821,0.655,10.2,0.9971,6
