number,volatile acidity,sulphates,alcohol,quality
103,0.575,0.51,9.2,5
104,0.49,0.48,9.4,5
105,0.575,0.51,9.2,5
106,0.41,1.31,9.3,5
107,0.63,0.79,9.3,5
108,0.33,0.8,9.6,6
109,0.785,0.69,9.3,5
110,0.56,0.93,9.5,5
111,0.62,0.66,9.8,5
112,0.6,0.66,9.8,5
113,0.31,0.67,9.7,6
114,0.56,0.93,9.5,5
115,0.4,0.63,10.5,6
116,0.54,0.61,10.0,6
117,0.56,0.5,9.4,6
118,0.55,0.6,10.9,6
119,0.69,0.54,9.2,6
120,1.07,0.57,9.0,5
121,0.55,0.6,10.9,6
122,0.695,0.52,9.2,5
123,0.71,0.53,9.5,5
124,0.5,0.48,9.5,5
125,0.62,0.7,9.4,5
126,1.33,0.49,10.9,5
127,1.33,0.48,10.9,5
128,0.59,0.92,10.5,7
129,0.38,0.57,9.4,5
130,0.745,0.66,9.4,5
131,0.5,0.63,13.0,5
132,0.5,0.63,13.0,5
133,0.5,0.58,9.8,6
134,1.04,0.55,9.9,6
135,0.745,0.82,9.6,5
136,0.715,0.77,9.5,5
137,0.415,0.64,9.2,5
138,0.56,0.54,9.5,5
139,0.56,0.54,9.5,5
140,0.745,0.82,9.6,5
141,0.715,0.77,9.5,5
142,0.34,0.79,14.0,6
143,0.39,0.58,9.4,5
144,0.34,0.79,14.0,6
145,0.67,0.62,9.4,5
146,0.68,0.52,10.0,5
147,0.49,0.8,9.3,5
148,0.49,0.58,10.2,6
149,0.4,0.61,10.5,6
150,0.33,0.53,10.3,6
151,0.52,2.0,9.4,4
152,0.6,0.54,10.1,5
153,0.6,0.54,10.1,5
154,0.43,0.72,10.5,5
155,0.43,0.71,10.5,5
156,0.43,0.72,10.5,5
157,0.43,0.71,10.5,5
158,0.68,0.5,9.3,5
159,0.6,0.57,9.3,6
160,0.95,0.56,9.6,5
161,0.68,1.08,9.2,4
162,0.53,0.56,10.0,6
163,0.6,0.49,9.4,5
164,0.59,0.49,9.4,5
165,0.63,0.62,9.5,5
166,0.64,0.52,10.2,5
167,0.55,0.48,9.0,4
168,0.63,0.55,10.4,6
169,0.705,1.59,9.5,5
170,0.885,0.33,9.1,4
171,0.42,0.61,9.2,6
172,0.42,0.61,9.2,6
173,0.62,0.57,11.5,6
174,0.38,0.47,9.5,5
175,0.5,0.78,9.5,5
176,0.38,0.47,9.5,5
177,0.52,0.61,10.5,6
178,0.805,0.56,9.6,5
179,0.61,0.59,9.5,5
180,0.61,0.59,9.5,5
181,0.61,1.02,9.3,5
182,0.73,0.52,9.3,5
183,0.61,0.58,9.3,5
184,0.62,0.58,9.3,6
185,0.31,0.53,9.7,5
186,0.39,0.55,9.2,5
187,0.705,0.49,9.7,5
188,0.5,0.55,9.5,5
189,0.49,0.55,9.5,5
190,0.5,0.62,9.4,5
191,0.37,0.62,9.8,6
192,0.63,0.61,9.5,5
193,0.55,0.55,9.7,5
194,0.55,0.55,9.7,5
195,0.59,0.54,9.4,5
196,0.58,0.59,10.2,5
197,0.3,0.97,10.1,6
198,0.835,0.85,13.0,7
199,1.09,0.43,11.4,4
200,0.32,0.82,10.3,7
201,0.37,1.03,9.3,5
202,0.5,0.79,9.5,5
203,0.42,0.55,9.2,5
204,0.43,0.56,9.2,6
205,0.3,0.77,10.8,7
206,0.3,0.77,10.8,7
207,0.57,0.53,9.3,5
208,0.44,0.67,9.4,5
209,0.3,0.88,10.5,7
210,0.53,0.86,12.4,6
211,0.725,0.56,10.0,6
212,0.44,0.67,10.2,6
213,0.57,0.43,10.1,5
214,0.735,0.71,9.8,6
215,0.49,0.76,10.5,5
216,0.625,0.57,11.0,5
217,0.725,0.55,9.1,5
218,0.49,0.54,9.7,5
219,0.53,0.6,9.5,5
220,0.34,0.59,9.4,6
221,0.53,0.57,9.4,5
222,0.61,0.6,9.5,5
223,0.645,0.6,10.0,6
224,0.635,0.57,10.4,4
225,0.43,0.58,10.5,6
226,0.59,1.61,9.5,6
227,0.82,0.63,9.8,5
228,0.43,0.58,10.5,6
229,0.52,0.5,11.0,5
230,0.48,0.62,12.2,7
231,0.38,0.52,9.9,6
232,0.37,0.7,9.6,6
233,0.52,0.5,11.0,5
234,1.0,0.55,9.0,6
235,0.63,0.58,9.0,6
236,0.63,0.58,9.0,6
237,0.645,0.58,9.2,6
238,0.63,0.58,9.0,6
239,1.0,0.55,9.0,6
240,0.635,1.09,9.3,5
241,0.38,0.71,10.9,6
242,0.58,0.49,9.8,6
243,0.21,0.84,9.2,7
244,0.21,0.84,9.2,7
245,0.66,0.96,9.9,6
246,0.68,0.52,9.5,5
247,0.6,0.45,9.3,5
248,0.53,0.48,9.8,6
249,0.66,0.96,9.9,6
250,0.32,0.78,10.0,6
251,0.6,0.7,9.9,6
252,0.35,0.53,10.5,5
253,0.775,0.59,9.5,5
254,0.6,0.7,9.9,6
255,0.57,0.57,9.3,5
256,0.34,0.62,9.2,5
257,0.695,0.67,9.2,5
258,0.41,1.26,9.4,5
259,0.31,0.8,10.5,7
260,0.33,0.65,9.3,5
261,0.975,0.6,9.4,4
262,0.52,0.57,10.0,5
263,0.37,0.67,9.3,5
264,0.56,0.87,10.9,5
265,0.26,0.72,10.2,7
266,0.87,0.72,9.8,4
267,0.35,0.86,12.8,8
268,0.54,0.91,9.4,6
269,0.18,0.97,10.1,6
270,0.545,0.67,10.7,6
271,0.18,0.97,10.1,6
272,0.37,0.78,10.1,5
273,0.715,0.64,9.4,5
274,0.65,0.77,9.4,5
275,0.545,0.67,10.7,6
276,0.54,0.91,9.4,6
277,0.18,0.97,10.1,6
278,0.32,0.82,12.6,8
279,0.4,0.77,10.5,7
280,0.26,0.82,9.3,6
281,0.27,1.08,9.9,7
282,0.52,0.57,9.1,5
283,0.4,0.77,10.5,7
284,0.59,0.71,9.8,5
285,0.59,0.71,9.8,5
286,0.45,0.76,10.3,6
287,0.4,0.7,10.3,6
288,0.52,0.86,10.6,7
289,0.42,0.95,9.2,5
290,0.52,0.86,10.6,7
291,0.2,0.71,10.5,5
292,0.55,0.64,10.3,6
293,0.36,0.6,10.1,6
294,0.34,0.81,9.5,6
295,0.5,0.64,9.5,5
296,0.83,0.52,9.9,5
297,0.63,0.73,9.6,5
298,0.65,0.8,9.7,5
299,0.67,0.71,9.6,5
300,0.53,0.59,10.7,6
301,0.18,0.64,10.1,6
302,0.705,0.72,10.0,5
303,0.67,0.54,9.5,5
304,0.65,0.52,9.2,5
305,0.53,0.59,9.3,6
306,0.62,0.52,9.4,5
307,0.41,0.62,9.5,6
308,0.43,0.63,9.5,6
309,0.29,0.53,9.5,6
310,0.53,0.59,9.3,6
311,0.53,0.54,9.4,6
312,0.46,0.63,9.5,6
313,0.47,0.53,9.4,5
314,0.36,0.68,11.0,5
315,0.35,0.65,11.0,6
316,0.56,0.65,10.1,5
317,0.77,0.64,10.4,6
318,0.66,0.71,11.5,7
319,0.77,0.64,10.4,6
320,0.66,0.71,11.5,7
321,0.61,0.62,9.7,5
322,0.62,0.63,9.3,5
323,0.59,0.7,9.5,6
324,0.49,0.69,9.2,6
325,0.49,0.69,9.2,6
326,0.53,0.74,11.5,7
327,0.44,0.83,11.5,5
328,0.27,0.67,9.7,6
329,0.46,0.62,9.5,5
330,0.36,0.66,12.5,6
331,0.36,0.66,12.5,6
332,0.58,0.54,9.4,6
333,0.56,0.52,11.0,5
334,0.65,0.74,11.7,7
335,0.695,0.84,12.2,7
336,0.43,0.7,12.5,6
337,0.43,0.64,10.3,5
338,0.49,1.0,11.5,6
339,0.28,1.36,9.8,7
340,0.34,1.18,9.2,6
341,0.42,0.87,11.3,6
342,0.39,0.75,9.8,6
343,0.39,0.75,9.8,6
344,0.57,0.78,10.7,6
345,0.685,0.81,9.9,5
346,0.815,0.89,12.3,7
347,0.49,0.93,12.0,6
348,0.56,0.92,10.0,6
349,0.785,0.86,9.4,6
350,0.67,0.98,9.9,6
351,0.795,0.83,9.4,6
352,0.665,0.73,9.3,5
353,0.53,0.77,13.0,5
354,0.21,0.59,11.9,6
355,0.75,0.61,12.8,6
356,0.41,0.88,11.0,5
357,0.42,0.75,11.7,7
358,0.43,0.85,10.4,7
359,0.38,0.68,9.8,6
360,0.7,0.7,9.4,5
361,0.45,0.91,9.9,6
362,0.58,0.56,10.0,5
363,0.46,0.87,10.2,5
364,0.615,0.73,10.0,7
365,0.42,0.93,11.8,6
366,0.615,0.73,10.0,7
367,0.575,0.69,9.0,5
368,0.34,0.64,9.4,5
369,0.27,1.13,12.0,7
370,0.765,0.78,9.9,5
371,0.24,0.87,8.7,6
372,0.28,1.04,10.6,6
373,0.55,0.63,9.2,5
374,0.41,0.81,10.8,6
375,0.54,0.83,11.8,7
376,0.45,1.11,11.0,6
377,0.27,1.13,12.0,7
378,0.625,0.99,13.3,6
379,0.42,0.7,10.8,6
380,0.26,0.8,9.4,6
381,0.415,0.8,10.0,6
382,0.26,0.8,9.4,6
383,0.26,0.8,9.4,6
384,0.51,0.74,9.2,5
385,0.63,0.76,9.7,6
386,0.54,0.74,9.2,6
387,0.66,0.54,9.6,6
388,0.46,0.74,9.2,6
389,0.38,0.7,10.0,7
390,0.85,0.82,12.9,8
391,0.415,0.8,10.0,6
392,0.37,0.51,9.5,5
393,0.665,0.54,9.1,5
394,0.6,0.57,9.9,5
395,0.37,0.6,13.0,7
396,0.735,0.53,9.9,5
397,0.59,0.65,11.0,6
398,0.59,0.65,11.0,6
399,0.765,0.55,9.4,5
400,0.735,0.53,9.9,5
401,0.26,0.47,10.8,6
402,0.48,0.61,10.5,6
403,0.6,0.63,10.5,6
404,0.69,0.61,9.1,5
405,0.31,0.76,10.1,6
406,0.44,0.65,10.8,6
407,0.39,0.63,10.8,7
408,0.34,0.7,11.3,6
409,0.46,0.57,9.6,4
410,0.43,0.62,9.5,6
411,0.45,0.62,9.5,5
412,0.735,0.64,9.3,5
413,0.4,0.82,11.7,7
414,0.52,0.61,9.5,5
415,0.725,1.07,9.3,5
416,0.48,0.66,11.7,6
417,0.58,0.48,10.5,5
418,0.38,0.76,10.4,6
419,0.77,0.68,9.9,5
420,0.56,0.73,11.8,7
421,0.84,0.56,12.3,7
422,0.96,0.44,10.9,5
423,0.24,0.9,11.0,7
424,0.96,0.44,10.9,5
425,0.84,0.56,12.3,7
426,0.67,0.49,11.4,6
427,0.78,0.56,10.6,6
428,0.52,0.6,9.3,5
429,0.84,0.6,10.4,6
430,0.24,0.9,11.0,7
431,0.55,0.56,9.2,5
432,0.37,0.65,12.8,6
433,0.39,0.49,9.5,5
434,0.41,0.89,9.9,6
435,0.39,0.49,9.5,5
436,0.67,0.56,10.2,6
437,0.45,0.66,11.2,6
438,0.41,0.89,9.9,6
439,0.62,0.6,9.3,5
440,0.31,0.82,9.8,8
441,0.4,0.68,11.3,6
442,0.685,0.68,11.2,7
443,0.44,0.63,11.6,7
444,0.57,0.84,12.5,7
445,0.735,0.56,10.1,6
446,0.38,0.73,10.5,5
447,0.48,0.72,11.2,5
448,0.53,0.56,10.2,6
449,0.39,0.61,10.8,6
450,0.39,0.61,10.8,6
451,0.37,1.06,9.1,6
452,0.56,0.63,10.0,6
453,0.33,0.74,11.2,7
454,0.23,0.63,11.1,5
455,0.62,0.69,13.4,8
456,0.59,0.58,10.3,5
457,0.63,0.58,9.6,5
458,0.33,0.74,11.2,7
459,0.58,0.57,9.0,3
460,0.43,0.61,11.3,6
461,0.615,0.61,9.3,5
462,0.26,0.61,11.8,5
463,0.66,0.53,9.0,5
464,0.315,0.7,9.2,6
465,0.29,0.91,9.7,5
466,0.5,0.72,11.5,6
467,0.46,0.79,14.0,6
468,0.36,0.62,9.2,6
469,0.82,0.58,9.8,5
470,0.32,0.61,10.6,5
471,0.54,0.71,11.4,6
472,0.37,0.82,10.4,6
473,0.35,0.79,10.6,5
474,0.28,0.89,9.4,6
475,0.68,0.6,10.2,5
476,0.27,0.7,9.7,5
477,0.24,1.06,11.0,6
478,0.68,0.6,10.2,5
479,0.685,0.7,10.1,6
480,0.28,0.66,9.2,5
481,0.3,0.92,11.7,8
482,0.36,1.05,9.4,5
483,0.36,1.06,9.4,5
484,0.44,0.66,13.4,6
485,0.67,0.47,10.0,5
486,0.67,0.47,10.0,5
487,0.645,0.42,10.0,6
488,0.32,0.92,10.8,7
489,0.39,0.75,10.2,6
490,0.775,0.67,10.6,6
491,0.41,0.79,13.3,7
492,0.4,0.9,13.4,7
493,0.69,0.74,11.6,6
494,0.39,0.55,12.1,6
495,0.35,0.65,11.0,8
496,0.52,0.65,9.0,6
497,0.34,0.79,11.1,5
498,0.35,0.65,11.0,8
499,0.69,0.74,11.6,6
500,0.52,0.65,9.0,6
501,0.44,0.85,12.0,7
502,0.44,0.85,12.0,7
503,0.26,1.04,10.9,7
504,0.24,1.05,10.8,7
505,0.49,0.78,12.5,7
506,0.24,1.02,10.8,7
507,0.67,0.71,9.5,6
508,0.59,0.63,10.2,6
509,0.29,0.68,11.4,7
510,0.42,0.61,9.5,5
511,0.59,0.63,10.2,6
512,0.4,0.81,9.7,6
513,0.51,0.66,11.8,7
514,0.51,0.66,11.8,7
515,0.655,1.14,9.3,5
516,0.6,0.74,11.9,6
517,0.61,0.63,8.4,3
518,0.21,0.68,11.7,6
519,0.365,0.78,11.0,5
520,0.25,0.9,10.0,6
521,0.41,0.64,9.1,5
522,0.39,0.99,9.8,5
523,0.4,0.55,9.4,5
524,0.43,0.64,9.5,5
525,0.64,0.67,9.9,5
526,0.365,0.78,11.0,5
527,0.38,0.77,11.4,6
528,0.42,0.75,8.7,6
529,0.63,0.57,9.4,5
530,0.22,0.87,10.3,6
531,0.38,0.61,10.3,5
532,0.38,0.61,10.3,5
533,0.27,0.66,12.8,6
534,0.48,0.56,10.0,6
535,0.22,0.87,10.3,6
536,0.63,0.57,9.4,5
537,0.825,0.77,10.7,6
538,0.35,0.66,12.0,7
539,0.5,0.62,11.2,5
540,0.59,0.67,9.6,5
541,0.46,0.73,11.0,6
542,0.715,0.59,9.9,5
543,0.66,0.72,11.0,6
544,0.31,0.79,8.4,6
545,0.47,0.59,9.1,5
546,0.55,0.78,9.5,6
547,0.31,0.86,10.7,6
548,0.35,0.75,10.4,6
549,0.53,0.61,9.4,6
550,0.51,0.56,9.5,6
551,0.43,0.73,10.0,6
552,0.46,0.74,10.0,6
553,1.04,0.62,11.5,5
554,0.645,0.74,11.1,5
555,0.645,0.74,11.1,5
556,0.53,0.56,11.7,6
557,0.645,0.74,11.1,5
558,0.53,0.56,11.7,6
559,0.47,0.68,12.7,6
560,0.6,0.57,11.4,5
561,0.44,0.58,9.2,5
562,0.54,0.61,9.2,5
563,0.29,0.61,10.1,6
564,0.47,0.68,12.7,6
565,0.6,0.57,11.4,5
566,0.7,0.6,9.0,6
567,0.7,0.6,9.0,6
568,0.5,0.79,10.7,6
569,0.36,0.57,11.7,6
570,0.35,0.91,11.0,6
571,0.36,0.57,11.7,6
572,0.24,0.61,10.4,5
573,0.59,0.56,9.6,4
574,0.34,0.7,10.0,6
575,0.27,0.8,10.2,6
576,0.5,0.52,10.0,4
577,0.44,0.6,9.5,5
578,0.47,0.6,9.8,5
579,0.31,0.51,9.8,6
580,0.5,0.44,9.6,5
581,0.5,0.44,9.6,5
582,0.49,0.43,9.2,5
583,0.28,0.66,9.9,7
584,0.33,0.76,10.7,7
585,0.51,0.66,9.6,6
586,0.31,1.02,10.6,7
587,0.73,0.59,9.3,5
588,0.42,0.74,14.0,8
589,0.29,0.74,10.5,7
590,0.45,0.57,9.7,5
591,0.39,0.5,11.5,6
592,0.45,0.57,9.7,5
593,0.49,0.58,9.0,5
594,0.72,0.53,9.5,5
595,0.595,0.57,9.3,5
596,0.4,0.6,9.3,6
597,0.58,0.63,10.0,6
598,0.585,0.48,9.8,6
599,0.59,0.7,9.3,6
600,0.915,0.47,10.0,4
601,0.46,0.56,9.0,6
602,0.835,0.52,9.3,5
603,0.46,0.56,9.0,6
604,0.58,0.62,9.1,6
605,0.6,0.59,9.2,6
606,0.41,0.79,12.2,7
607,0.48,0.53,10.5,6
608,0.65,0.64,10.4,6
609,0.36,0.52,12.7,6
610,0.24,0.54,9.2,5
611,0.38,0.54,9.4,5
612,0.64,0.6,10.0,6
613,0.39,0.74,9.8,5
614,0.755,1.36,10.2,6
615,0.6,0.57,9.7,5
616,0.6,0.57,9.7,5
617,0.31,0.93,9.8,6
618,0.46,0.7,10.2,5
619,0.37,0.8,9.3,5
620,0.54,0.61,9.4,5
621,0.56,0.62,9.4,5
622,0.58,0.55,9.5,5
623,0.51,0.96,12.1,6
624,0.69,0.72,10.2,5
625,0.69,0.72,10.2,5
626,0.6,0.49,9.1,5
627,0.6,0.49,9.1,5
628,0.54,0.6,9.3,6
629,0.685,0.61,9.3,5
630,0.54,0.6,9.3,6
631,0.28,0.63,9.5,5
632,0.41,0.57,10.5,6
633,0.935,0.64,11.3,4
634,0.35,0.58,9.5,5
635,0.84,0.55,9.7,5
636,0.88,0.53,9.4,5
637,0.885,0.53,9.4,5
638,0.915,0.65,10.2,7
639,0.29,1.36,10.3,6
640,0.54,0.62,9.4,5
641,0.59,0.63,9.5,5
642,0.54,0.62,9.4,5
643,0.59,0.63,9.5,5
644,0.54,0.62,9.4,5
645,0.64,0.69,10.1,7
646,0.67,0.63,10.1,5
647,0.845,0.58,11.0,4
648,0.48,0.67,11.2,7
649,0.42,0.57,11.3,6
650,0.43,0.5,9.6,5
651,0.88,0.67,11.2,5
652,0.36,0.84,14.9,5
653,0.33,0.54,12.0,6
654,0.47,0.46,9.5,5
655,0.55,0.61,9.4,5
656,0.43,0.5,9.6,5
657,0.5,0.68,10.5,7
658,0.52,0.81,9.6,6
659,0.84,0.57,11.0,4
660,0.52,0.81,9.6,6
661,0.42,0.64,9.0,5
662,0.57,0.7,9.6,6
663,0.28,0.79,10.2,6
664,0.4,0.66,10.2,5
665,0.59,0.56,9.7,5
666,0.49,0.6,9.5,6
667,0.34,0.66,9.2,6
668,0.73,0.57,11.0,5
669,0.34,0.66,9.2,6
670,0.4,0.58,10.0,5
671,0.73,0.52,9.5,5
672,1.24,0.53,9.5,5
673,0.73,0.52,9.5,5
674,0.4,0.67,9.3,6
675,0.41,0.65,10.2,5
676,0.4,0.67,9.3,6
677,0.8,0.48,9.9,5
678,0.78,0.53,10.0,5
679,0.26,0.54,9.6,5
680,0.43,0.49,9.0,5
681,0.45,0.49,10.2,6
682,0.46,0.54,9.8,5
683,0.78,0.56,11.3,5
684,0.98,0.48,9.4,5
685,0.78,0.56,11.3,5
686,0.65,0.6,9.1,5
687,0.64,0.59,9.7,5
688,0.66,0.47,9.4,5
689,0.38,1.05,9.4,5
690,1.185,0.54,10.7,3
691,0.92,0.54,9.8,5
692,0.49,1.17,9.0,5
693,0.48,0.62,9.4,5
694,0.47,0.61,9.4,5
695,0.47,0.62,12.8,6
696,0.65,0.67,9.5,6
697,0.65,0.67,9.5,6
698,0.615,0.53,9.7,5
699,0.38,0.62,10.8,6
700,1.02,0.57,10.1,6
701,0.65,0.67,9.5,6
702,0.64,0.67,9.4,6
703,0.38,0.7,9.6,4
704,0.765,0.54,9.7,4
705,1.035,0.49,9.9,5
706,0.78,0.47,10.0,5
707,0.49,0.51,10.5,5
708,0.545,0.61,11.6,6
709,0.31,0.66,10.0,6
710,1.025,0.57,10.1,5
711,0.565,0.61,9.5,5
712,0.69,0.45,9.4,5
713,0.43,0.46,9.4,5
714,0.74,0.51,9.8,5
715,0.49,0.48,9.2,6
716,0.43,0.46,9.4,5
717,0.46,0.57,10.0,5
718,0.56,0.44,9.6,5
719,0.66,0.54,9.5,5
720,0.56,0.44,9.6,5
721,0.48,0.53,9.2,5
722,0.42,0.59,10.0,5
723,0.31,1.62,9.5,5
724,1.115,0.6,11.2,4
725,0.66,0.55,10.4,5
726,0.72,0.72,11.1,6
727,0.57,0.68,9.5,5
728,0.57,0.68,9.5,5
729,0.865,0.49,12.7,6
730,0.55,0.67,9.6,5
731,0.875,0.52,11.5,5
732,0.835,0.47,9.6,5
733,0.45,0.6,9.5,5
734,0.56,0.62,9.3,5
735,0.965,0.5,9.5,5
736,0.965,0.5,9.5,5
737,0.59,0.65,9.3,6
738,0.46,0.56,9.2,5
739,0.69,0.6,9.3,5
740,0.76,0.68,11.5,6
741,0.53,0.57,9.5,5
742,0.615,0.65,9.2,5
743,0.41,0.53,10.0,5
744,0.39,0.51,9.5,5
745,0.51,0.73,9.5,6
746,0.34,0.47,9.0,6
747,0.33,0.48,9.4,5
748,0.5,0.72,9.6,6
749,0.51,0.73,9.5,6
750,0.65,0.55,9.5,5
751,0.65,0.55,9.5,5
752,0.54,0.61,9.4,5
753,0.65,0.55,9.5,5
754,0.48,1.06,9.1,6
755,0.91,0.43,10.7,6
756,0.98,0.46,11.2,6
757,0.87,0.5,9.8,5
758,0.87,0.5,9.8,5
759,0.42,0.52,9.2,5
760,0.58,0.57,9.7,5
761,0.655,0.42,9.6,5
762,0.7,0.53,10.0,6
763,0.655,0.42,9.6,5
764,0.68,0.55,9.5,6
765,0.67,0.54,9.5,6
766,0.59,0.54,9.4,5
767,0.6,0.62,9.5,5
768,0.59,0.53,9.7,6
769,0.72,0.54,9.6,5
770,0.59,0.53,9.7,6
771,0.685,0.55,9.4,5
772,0.57,0.55,9.4,5
773,0.4,0.92,9.5,6
774,0.4,0.91,9.5,6
775,1.0,0.46,10.0,5
776,0.765,0.6,10.3,6
777,0.635,0.59,10.3,6
778,0.43,0.61,10.5,5
779,0.52,0.6,9.8,5
780,0.57,0.6,9.4,6
781,0.46,0.65,9.8,5
782,0.82,0.53,10.0,5
783,0.46,0.65,9.8,5
784,0.59,0.59,9.8,5
785,0.35,0.5,9.5,5
786,0.35,0.5,9.5,5
787,0.56,0.56,10.1,6
788,0.56,0.56,10.1,6
789,0.63,0.52,9.3,5
790,0.37,0.68,9.7,6
791,0.64,0.54,9.6,5
792,0.61,0.6,9.7,6
793,0.6,0.56,10.8,5
794,0.27,0.53,12.5,6
795,0.89,1.18,10.2,5
796,0.46,0.74,9.6,5
797,0.37,0.81,10.8,7
798,0.5,0.52,10.7,6
799,0.5,0.52,10.7,6
800,0.61,0.51,9.4,5
801,0.55,0.44,10.0,5
802,0.585,0.94,12.9,7
803,0.56,0.66,9.6,6
804,0.52,0.57,9.9,6
805,0.28,0.7,12.8,7
806,0.25,0.71,12.5,7
807,0.28,0.7,12.8,7
808,0.53,0.86,9.2,5
809,0.48,0.55,10.3,6
810,0.49,0.47,10.5,5
811,0.5,0.68,10.9,6
812,0.45,0.71,10.8,5
813,0.39,0.58,11.4,4
814,0.41,0.76,11.3,6
815,0.45,0.71,10.8,5
816,0.51,0.58,10.5,6
817,0.29,0.73,11.9,6
818,0.715,0.45,9.4,5
819,0.66,0.54,9.6,5
820,0.685,0.6,9.7,5
821,0.42,0.74,14.0,7
822,0.54,0.64,9.8,5
823,0.54,0.64,9.8,5
824,0.48,0.53,10.3,5
825,0.46,0.49,10.7,5
826,0.27,0.64,11.0,7
827,0.46,0.49,10.7,5
828,0.57,0.74,12.7,8
829,0.61,0.77,11.1,6
830,0.685,0.55,10.9,4
831,0.61,0.77,11.1,6
832,0.44,0.86,9.9,3
833,0.47,0.86,9.9,4
834,0.685,0.47,9.4,5
835,0.665,0.51,9.3,5
836,0.28,0.39,11.7,7
837,0.28,0.39,11.7,7
838,0.31,0.83,11.2,7
839,0.5,0.47,10.0,5
840,0.42,0.77,12.1,7
841,0.66,0.63,10.3,5
842,0.5,0.72,10.9,6
843,0.685,0.62,9.4,5
844,0.25,0.83,10.6,6
845,0.64,0.66,9.8,5
846,0.64,0.66,9.8,5
847,0.68,0.7,9.9,6
848,0.64,0.66,9.8,5
849,0.63,0.66,9.8,5
850,0.43,0.55,9.5,5
851,0.43,0.55,9.5,5
852,0.42,1.07,9.7,5
853,0.36,0.73,10.9,6
854,0.36,0.73,10.9,6
855,0.735,0.71,11.7,7
856,0.36,0.73,10.9,6
857,0.26,0.78,11.3,7
858,0.28,0.67,10.6,7
859,0.56,0.82,11.2,6
860,0.62,0.54,9.5,5
861,1.01,0.6,11.5,6
862,0.42,0.44,10.4,5
863,0.62,0.53,9.7,5
864,0.62,0.54,9.5,5
865,0.635,0.54,9.7,5
866,0.49,0.83,11.3,6
867,0.51,0.84,11.2,6
868,0.56,0.82,11.2,6
869,0.63,0.64,10.9,6
870,0.715,0.57,11.8,6
871,0.56,0.57,10.6,5
